阿	tzk· 阝可 ·a
憊	jlth· 亻龷丿心 ·bei
愂	nwhh· 十冖子力心 ·bei
韝	gqfg· 韋一冂土 ·bei
垻	gob· 土貝 ·bei
骳	frp· 骨皮 ·bei
唄	dob· 口貝 ·bei
鵯	utnx· 白丿十鳥 ·bei
僃	jlnt· 亻艹勹 ·bei
備	jltt· 亻龷丿 ·bei
偹	jghq· 亻丨夂田 ·bei
偝	javv· 亻匕⺝ ·bei
俻	jhqt· 亻夂田 ·bei
本	efi· 木一 ·ben
笨	refi· ⺮木一 ·ben
奔	mnlc· 大十廾 ·ben
苯	lefi· 艹木一 ·ben
贲	nlob· 十艹贝 ·ben
锛	zmnl· 钅大十廾 ·ben
坌	hpgt· 八刀土 ·ben
夯	msl· 大力 ·ben
畚	kmqt· 厶大田 ·ben
蟦	cnlo· 虫十艹貝 ·ben
翉	efzv· 木一羽 ·ben
賁	nlob· 十艹貝 ·ben
獖	mnlo· 犭十艹貝 ·ben
犇	qqqn· 牛牜牛 ·ben
燌	cnlo· 火十艹貝 ·ben
炃	hpch· 八刀火 ·ben
輽	ykmq· 車厶大田 ·ben
渀	kmnl· 氵大十廾 ·ben
逩	mnlu· 大十廾辶 ·ben
泍	kefi· 氵木一 ·ben
楍	eddd· 木口口口 ·ben
桳	ekmn· 木厶大十 ·ben
錛	zmnl· 金大十廾 ·ben
撪	ukmy· 扌厶大車 ·ben
捹	umnl· 扌大十廾 ·ben
鐼	znlo· 金十艹貝 ·ben
奙	kmoa· 厶大日乚 ·ben
喯	dmnl· 口大十廾 ·ben
倴	jmnl· 亻大十廾 ·ben
蹦	pvvv· ⻊山月月 ·beng
崩	vvvy· 山月月 ·beng
甭	cty· 不用 ·beng
泵	mks· 石水 ·beng
绷	ivvy· 纟月月 ·beng
迸	hluc· 䒑廾辶 ·beng
嘣	dvvv· 口山月月 ·beng
蚌	caf· 虫丰 ·beng
甏	herw· 彡瓦 ·beng
琫	naiu· 王㇏ ·beng
镚	zvvv· 钅山月月 ·beng
菶	laiu· 艹㇏ ·beng
繃	ivvv· 糹山月月 ·beng
綳	ivvy· 糹月月 ·beng
絣	ihlc· 糹䒑廾 ·beng
祊	flf· 礻方 ·beng
痭	avvy· 疒月月 ·beng
琣	nidk· 王立口 ·beng
跰	phlc· ⻊䒑廾 ·beng
逬	tetu· 丿丿干辶 ·beng
錋	zvvy· 金月月 ·beng
揼	umks· 扌石水 ·beng
鏰	zvvv· 金山月月 ·beng
挷	uate· 扌阝 ·beng
閍	alf· 門方 ·beng
鞛	tidk· 革立口 ·beng
嵭	viwl· 山冖方 ·beng
奟	mvvy· 大月月 ·beng
塴	gvvv· 土山月月 ·beng
埲	gaiu· 土㇏ ·beng
埄	ghaf· 土夂丰 ·beng
傰	jvvv· 亻山月月 ·beng
伻	jehb· 亻干丷 ·beng
比	vvb· 匕 ·bi
逼	fdqu· 一口田辶 ·bi
笔	rvm· ⺮毛 ·bi
币	trj· 丿巾 ·bi
必	htp· 心丿 ·bi
碧	nums· 王白石 ·bi
毕	vvns· 匕十 ·bi
彼	wrp· 彳皮 ·bi
壁	cdng· 尸口辛土 ·bi
避	cdnu· 尸口辛辶 ·bi
闭	antp· 门丿 ·bi
臂	cdnv· 尸口辛⺝ ·bi
鼻	oqlc· 自田丌 ·bi
璧	cdni· 尸口辛王丶 ·bi
弊	fhlc· 㡀攵廾 ·bi
弼	bfub· 弓一白弓 ·bi
蔽	lfhp· 艹㡀攵 ·bi
庇	xvvb· 广匕 ·bi
毙	vvgv· 匕歹匕 ·bi
俾	jutn· 亻白丿十 ·bi
痹	aqlc· 疒田丌 ·bi
敝	fhp· 㡀攵 ·bi
鄙	dnrt· 口十囗口阝 ·bi
铋	zhtp· 钅心丿 ·bi
荜	lvvn· 艹匕十 ·bi
薜	lcdn· 艹尸口辛 ·bi
哔	dvvn· 口匕十 ·bi
吡	dvvb· 口匕 ·bi
襞	cdnt· 尸口辛衣 ·bi
陛	tvvg· 阝匕土 ·bi
毖	vvht· 匕心丿 ·bi
辟	cdnx· 尸口辛 ·bi
