阿	tzk· 阝可 ·a
幄	rcyi· 巾尸至 ·wo
龌	lcyi· 齿尸至 ·wo
莴	ldmj· 艹口冂人 ·wo
肟	vmae· 月二ㄅ ·wo
硪	mtup· 石丿扌戈 ·wo
嚄	dlur· 口艹隹又 ·wo
薶	lmdl· 艹豸里 ·wo
蒦	lury· 艹隹又 ·wo
萵	lfdk· 艹冎口 ·wo
蝸	cfdk· 虫冎口 ·wo
艧	ilur· 舟艹隹又 ·wo
臥	qjr· 臣人 ·wo
臒	vlur· 月艹隹又 ·wo
腛	vcyi· 月尸至 ·wo
窩	efdk· 穴冎口 ·wo
瞃	qxnq· 目⺁十目 ·wo
瓁	nlur· 王艹隹又 ·wo
猧	mfdk· 犭冎口 ·wo
踒	pxbn· ⻊禾女 ·wo
踠	pwlz· ⻊宀夕⺋ ·wo
焥	cwlz· 火宀夕⺋ ·wo
濣	knoj· 氵十日十人斗 ·wo
濄	kfdu· 氵冎口辶 ·wo
渦	kfdk· 氵冎口 ·wo
涹	kxbn· 氵禾女 ·wo
涴	kwlz· 氵宀夕⺋ ·wo
楃	ecyi· 木尸至 ·wo
枂	evy· 木月 ·wo
撾	ufdu· 扌冎口辶 ·wo
捾	uwki· 扌宀㠯 ·wo
捼	uxbn· 扌禾女 ·wo
捰	uqem· 扌田木 ·wo
雘	mzlr· ⺆亠艹隹又 ·wo
媉	bcyi· 女尸至 ·wo
婑	bxbn· 女禾女 ·wo
婐	bqem· 女田木 ·wo
馧	xooa· 禾日日皿 ·wo
堝	gfdk· 土冎口 ·wo
唩	dxbn· 口禾女 ·wo
偓	jcyi· 亻尸至 ·wo
齷	lcyi· 齒尸至 ·wo
仴	jvy· 亻月 ·wo
龏	tlc· 龍廾 ·wo
五	wu· 五 ·wu
无	du· 无 ·wu
吴	dfmd· 口一大 ·wu
武	fpsi· 一弋止 ·wu
物	qnes· 牜勹 ·wu
务	hsl· 夂力 ·wu
乌	xu· 乌 ·wu
午	ens· 𠂉十 ·wu
屋	cyi· 尸至 ·wu
伍	jwu· 亻五 ·wu
舞	elfv· 𠂉卌一夕㐄 ·wu
误	sdfm· 讠口一大 ·wu
雾	thsl· ⻗夂力 ·wu
吾	wdk· 五口 ·wu
芜	ldu· 艹无 ·wu
戊	nu· 戊 ·wu
晤	owdk· 日五口 ·wu
污	kmae· 氵二ㄅ ·wu
勿	nes· 勹 ·wu
悟	hwdk· 忄五口 ·wu
邬	xte· 乌阝 ·wu
捂	uwdk· 扌五口 ·wu
巫	ujjr· 工人人 ·wu
毋	ku· 毋 ·wu
坞	gxu· 土乌 ·wu
婺	ithb· 予丿攵女 ·wu
唔	dwdk· 口五口 ·wu
呜	dxu· 口乌 ·wu
梧	ewdk· 木五口 ·wu
诬	sujj· 讠工人人 ·wu
钨	zxu· 钅乌 ·wu
焐	cwdk· 火五口 ·wu
兀	fpe· 一儿 ·wu
侮	jekm· 亻𠂉母 ·wu
鹜	ithx· 予丿攵鸟 ·wu
庑	xdu· 广无 ·wu
芴	lnes· 艹勹 ·wu
浯	kwdk· 氵五口 ·wu
忤	hens· 忄𠂉十 ·wu
恶	fchx· 一业心 ·wu
仵	jens· 亻𠂉十 ·wu
妩	bdu· 女无 ·wu
牾	qwdk· 牜五口 ·wu
怃	hdu· 忄无 ·wu
鋈	ktmz· 氵丿大金 ·wu
蜈	cdfm· 虫口一大 ·wu
骛	ithn· 予丿攵马 ·wu
寤	wawd· 宀爿五口 ·wu
迕	enuc· 𠂉十辶 ·wu
亡	fw· 亡 ·wu
鹉	fpsx· 一弋止鸟 ·wu
鼯	pwdk· 鼠五口 ·wu
杌	efpe· 木一儿 ·wu
圬	gmae· 土二ㄅ ·wu
痦	awdk· 疒五口 ·wu
於	ljwb· 方人⺀ ·wu
蝥	ithc· 予丿攵虫 ·wu
阢	tfpe· 阝一儿 ·wu
揾	uoam· 扌日皿 ·wu
郚	wdte· 五口阝 ·wu
铻	zwdk· 钅五口 ·wu
靰	tfpe· 革一儿 ·wu
鹀	ujjx· 工人人鸟 ·wu
蕪	lelc· 艹𠂉卌一灬 ·wu
蘁	lndd· 艹王口口口口 ·wu
莁	lujj· 艹工人人 ·wu
茣	ldfm· 艹口一大 ·wu
螐	cxu· 虫烏 ·wu
膴	velc· 月𠂉卌一灬 ·wu
蟱	celc· 虫𠂉卌一灬 ·wu
粅	pnes· 米勹 ·wu
箼	rcyi· ⺮尸至 ·wu
誈	syi· 言至 ·wu
窹	eawd· 穴爿五口 ·wu
誣	sujj· 言工人人 ·wu
誤	sdfm· 言口一大 ·wu
窏	ekfn· 穴氵一 ·wu
禑	fqvr· 礻田⽱ ·wu
祦	fdfm· 礻口一大 ·wu
碔	mfps· 石一弋止 ·wu
譕	selc· 言𠂉卌一灬 ·wu
矹	mfpe· 石一儿 ·wu
瞴	qelc· 目𠂉卌一灬 ·wu
甒	elfr· 𠂉卌一灬瓦 ·wu
璑	nelc· 王𠂉卌一灬 ·wu
瑦	nxu· 王烏 ·wu
珸	nwdk· 王五口 ·wu
珷	nfps· 王一弋止 ·wu
趶	pfns· ⻊一 ·wu
玝	nens· 王𠂉十 ·wu
躌	pelv· ⻊𠂉卌一夕㐄 ·wu
熓	cxu· 火烏 ·wu
熃	ithc· 予丿夂力火 ·wu
無	elfc· 𠂉卌一灬 ·wu
烏	xu· 烏 ·wu
潕	kelc· 氵𠂉卌一灬 ·wu
溩	kxu· 氵烏 ·wu
渞	khoi· 氵䒑自 ·wu
逜	wduc· 五口辶 ·wu
洿	kmma· 氵大二ㄅ ·wu
洖	kdfm· 氵口一大 ·wu
沕	knes· 氵勹 ·wu
鄔	xte· 烏阝 ·wu
汚	kmae· 氵二ㄅ ·wu
汙	kfns· 氵一 ·wu
歍	xeq· 烏欠 ·wu
橆	elfe· 𠂉卌一木木 ·wu
釫	zmae· 金二ㄅ ·wu
杇	emae· 木二ㄅ ·wu
杅	efns· 木一 ·wu
鋘	zdfm· 金口一大 ·wu
鋙	zwdk· 金五口 ·wu
旿	oens· 日𠂉十 ·wu
敄	ithp· 予丿攵 ·wu
鎢	zxu· 金烏 ·wu
摀	uxu· 扌烏 ·wu
扤	ufpe· 扌一儿 ·wu
扝	umae· 扌二ㄅ ·wu
扜	ufns· 扌一 ·wu
憮	helc· 忄𠂉卌一灬 ·wu
惡	fchx· 一心 ·wu
悮	hdfm· 忄口一大 ·wu
陚	tfps· 阝一弋止 ·wu
悞	hdam· 忄口㇞大 ·wu
隖	txu· 阝烏 ·wu
忢	whx· 五心 ·wu
雺	titp· ⻗予丿 ·wu
霚	tith· ⻗予丿攵 ·wu
霧	tits· ⻗予丿夂力 ·wu
霿	titq· ⻗予丿夂目 ·wu
弙	bfns· 弓一 ·wu
廡	xelc· 广𠂉卌一灬 ·wu
幠	relc· 巾𠂉卌一灬 ·wu
嵨	vxu· 山烏 ·wu
嵍	ithv· 予丿攵山 ·wu
峿	vwdk· 山五口 ·wu
岉	vnes· 山勹 ·wu
屼	vfpe· 山一儿 ·wu
嫵	belc· 女𠂉卌一灬 ·wu
娬	bfps· 女一弋止 ·wu
娪	bwdk· 女五口 ·wu
娒	bekm· 女𠂉母 ·wu
奦	ithm· 予丿夂力大 ·wu
墲	gelc· 土𠂉卌一灬 ·wu
塢	gxu· 土烏 ·wu
騖	ithn· 予丿攵馬 ·wu
噁	dfch· 口一心 ·wu
嗚	dxu· 口烏 ·wu
啎	enwd· 𠂉十五口 ·wu
鯃	wwdk· 魚五口 ·wu
鰞	wxu· 魚烏 ·wu
呉	dahb· 口ㄅ ·wu
吳	damd· 口㇞大 ·wu
鴮	mmax· 大二ㄅ鳥 ·wu
鵐	ujjx· 工人人鳥 ·wu
鵡	fpsx· 一弋止鳥 ·wu
務	iths· 予丿夂力 ·wu
剭	cypd· 尸至刂 ·wu
鶩	ithx· 予丿攵鳥 ·wu
鷡	elfx· 𠂉卌一灬鳥 ·wu
兦	fw· 亾 ·wu
儛	jelv· 亻𠂉卌一夕㐄 ·wu
倵	jfps· 亻一弋止 ·wu
俉	jwdk· 亻五口 ·wu
鼿	oqlp· 自田丌一儿 ·wu
齀	oqlr· 自田丌瓦 ·wu
齬	lwdk· 齒五口 ·wu
伆	jnes· 亻勹 ·wu
亾	fw· 亾 ·wu
㒝	jlyi· 亻艹罒戊丶 ·wa
㧚	urw· 扌瓦 ·wa
㰪	ggeq· 土土欠 ·wa
㼘	vrw· 山瓦 ·wa
䍪	gfem· ⺶一木 ·wa
䎳	qvy· 耳月 ·wa
䚴	svy· 言月 ·wa
䠚	peyg· ⻊穴瓜 ·wa
㖞	ddmj· 口口冂人 ·wai
㨤	unui· 扌匚隹 ·wai
䠿	zcob· 身貝 ·wai
㜶	bwvw· 女匕兔 ·wan
㝃	hwpe· 子 ·wan
㝴	mpkc· 二儿寸 ·wan
㸘	hbya· 八乂罒丁 ·wan
㺜	myfc· 犭曲辰 ·wan
㼝	lzrw· 夕⺋瓦 ·wan
㽜	lzqt· 夕⺋田 ·wan
㽹	axry· 疒⺁又 ·wan
㿸	royr· 皮曰罒又 ·wan
䂺	mqem· 石田木 ·wan
䅋	xwpe· 禾 ·wan
䈮	rigj· ⺮立句 ·wan
䏦	vas· 月舌 ·wan
䑱	iwlz· 舟宀夕⺋ ·wan
䖤	lzcc· 夕⺋虫 ·wan
䗕	wlzc· 宀夕⺋虫 ·wan
䘼	twlz· 衤宀夕⺋ ·wan
䛷	swlz· 言宀夕⺋ ·wan
䝹	owlz· 貝宀夕⺋ ·wan
䥑	zejh· 金木人人夂 ·wan
䩊	bwlz· 面宀夕⺋ ·wan
䯈	fmpe· 骨二儿 ·wan
䯛	fwlz· 骨宀夕⺋ ·wan
䳃	xlzj· 鳥夕⺋ ·wan
䵥	pxmb· 黑⺈巴 ·wan
㑌	jnnw· 亻匚王 ·wang
㓁	whb· 冖八 ·wang
㔞	lavs· 千匕力 ·wang
㲿	kxg· 氵广 ·wang
㳹	kenw· 氵木王 ·wang
㴏	kenw· 氵穴王 ·wang
䋄	imbi· 糹冂㐅 ·wang
䋞	imbb· 糹冂乂乂 ·wang
䒽	lmbb· 艹冂乂乂 ·wang
䛃	smpe· 言二儿 ·wang
䤑	ynh· 酉黄 ·wang
䰣	ambb· 鬼冂乂乂 ·wang
㕒	xgtp· 厂⺷丿扌戈 ·wei
㖐	ddbt· 口口丿 ·wei
㛱	bqft· 女田一 ·wei
㞇	oqft· 尢田一 ·wei
㞑	cvm· 尸 ·wei
㟪	vqft· 山田一 ·wei
㟴	vag· 山鬼 ·wei
㠕	vtag· 山阝鬼 ·wei
㢻	bxbn· 弓禾女 ·wei
㣲	wvfh· 彳山一口攵 ·wei
㥜	hqvy· 忄田⺝ ·wei
㥨	bggh· 女土土心 ·wei
㦣	pghx· 行韋心 ·wei
㧑	uisi· 扌丶力丶 ·wei
㨊	unuv· 扌𠂇工⺝ ·wei
㨒	umgg· 扌大土土 ·wei
㬙	oytc· 日爫丿ヿヿヿ灬 ·wei
㭏	egw· 木韦 ·wei
㱬	gqft· 歹田一 ·wei
㷉	cmck· 尸二火寸 ·wei
㸵	qgdk· 牜士口 ·wei
㺔	mytc· 犭爫丿ヿヿヿ灬 ·wei
㻰	naab· 王丰丰彐 ·wei
㾯	aqft· 疒田一 ·wei
䃬	mvag· 石山鬼 ·wei
䅏	xcvm· 禾尸毛 ·wei
䇻	rcvm· ⺮尸毛 ·wei
䈧	rytc· ⺮爫丿ヿヿヿ灬 ·wei
䉠	rwvh· ⺮彳山一几攵 ·wei
䍴	gxbn· ⺶禾女 ·wei
䍷	ggw· ⺶韋 ·wei
䑊	vcou· 月貝辶 ·wei
䓕	lmpu· 艹二儿辶 ·wei
䓺	lgmd· 艹⺷大 ·wei
䔺	ltnv· 艹阝𠂇工⺝ ·wei
䗆	cwki· 虫宀㠯 ·wei
䗽	iucc· 糹隹虫 ·wei
䘙	pgfr· 行韋一巾 ·wei
䙟	trgw· 衤囗韋 ·wei
䙿	aej· 未見 ·wei
䛪	sebg· 言穴弓 ·wei
䜅	svui· 言山隹 ·wei
䜜	sghq· 言目 ·wei
䝐	jtnv· 豕阝𠂇工⺝ ·wei
䞔	gccv· 土尸毛 ·wei
䡺	yaah· 車丰丰彐心 ·wei
䣀	xxzt· ⺈厂阝 ·wei
䥆	zrzj· 亠非金 ·wei
䥩	zwvh· 金彳山一几攵 ·wei
䦱	aytc· 門爫丿ヿヿヿ灬 ·wei
䧦	tytc· 阝爫丿ヿヿヿ灬 ·wei
䩈	bekm· 面𠂉母 ·wei
䩞	tydk· 革⺊口 ·wei
䪋	tcou· 革貝辶 ·wei
䪘	gots· 韋日 ·wei
䫥	awy· 鬼頁 ·wei
䬐	otcb· ⺇丿虫禾女 ·wei
䬑	otcv· ⺇丿虫田⺝ ·wei
䬿	qcvm· 飠尸毛 ·wei
䭳	xbao· 禾女鬼禾日 ·wei
䮹	nsns· 馬止戊一 ·wei
䱞	wmfs· 魚大示 ·wei
䲁	wcfk· 魚尸示寸 ·wei
䲘	wrwk· 魚⺮宀㠯 ·wei
䵋	nnvy· 黄𠂇⺝ ·wei
䵢	paw· 黑未 ·wei
䵳	pjro· 黑亼囗⺌曰 ·wei
㒚	jyuh· 亻爫工彐心 ·wen
㖧	dbor· 口氏日 ·wen
㗃	ddor· 口民日 ·wen
㝧	wbjg· 宀女人人土 ·wen
㟩	dhvs· 民攵山 ·wen
㡈	rwpe· 巾 ·wen
㳷	kneo· 氵勹曰 ·wen
㵮	kmtg· 氵大革 ·wen
㼂	pfai· 一ㄅ丨冖王丶 ·wen
䎹	tpqe· 丿米耳 ·wen
䎽	qbor· 耳氏日 ·wen
䘇	vccc· 文虫虫虫 ·wen
䦤	arrr· 門又又又又 ·wen
䦷	ajjg· 门人人土 ·wen
䰚	nvw· 鬲文 ·wen
㘢	rmg· 囗光 ·weng
㜲	bfdi· 女亡口月女几丶 ·weng
䐥	vhkz· 月八厶羽 ·weng
䤰	gezj· 土欠金 ·weng
䨴	tcgk· ⻗业⺷寸 ·weng
㠗	vtmm· 山丿冂米大 ·wo
㠛	vlur· 山艹隹又 ·wo
㦱	fpgt· 一戈土 ·wo
㧴	utup· 扌丿扌戈 ·wo
㱧	gwlz· 歹宀夕⺋ ·wo
䀑	qrid· 目又丶 ·wo
䁊	qriq· 目又丶目 ·wo
䁷	pbbq· 乂乂冖目 ·wo
䂺	mqem· 石田木 ·wo
䙠	txhe· 衤厂䒑欠 ·wo
䠎	pcyi· ⻊尸至 ·wo
䩊	bwlz· 面宀夕⺋ ·wo
䮸	pbbn· 乂乂冖馬 ·wo
䰀	pexb· 镸彡禾女 ·wo
㐅	bi· 㐅 ·wu
㐳	jfpe· 亻一儿 ·wu
㑄	jkm· 亻母 ·wu
㒇	jelc· 亻𠂉卌一灬 ·wu
㝟	wfej· 宀一見 ·wu
㡔	ithr· 予丿攵巾 ·wu
㤇	htmd· 忄丿大 ·wu
㬳	vens· 月𠂉十 ·wu
㱱	gag· 歹鬼 ·wu
㵲	kelv· 氵𠂉卌一夕㐄 ·wu
㷻	celc· 火𠂉卌一灬 ·wu
㹳	mwdk· 犭五口 ·wu
㻍	ndfm· 王口一大 ·wu
㽾	asmk· 疒屮凵 ·wu
䀛	qnes· 目勹 ·wu
䃖	mxu· 石烏 ·wu
䅶	xfkc· 禾辰寸 ·wu
䉑	relc· ⺮𠂉卌一灬 ·wu
䍢	yelc· 罒𠂉卌一灬 ·wu
䎸	qwdk· 耳五口 ·wu
䑁	pbbv· 乂乂冖⺝ ·wu
䒉	ielv· 舟𠂉卌一夕㐄 ·wu
䓊	lwdk· 艹五口 ·wu
䚈	vgej· 覀土見 ·wu
䛩	sfcy· 言一 ·wu
䜑	sfch· 言一心 ·wu
䟼	pfps· ⻊一弋止 ·wu
䡧	yxu· 車烏 ·wu
䦍	aeai· 門𠂉乙 ·wu
䦜	awdk· 門五口 ·wu
䨁	ithu· 予丿攵隹 ·wu
䫓	idwy· 立口頁 ·wu
䮏	nwdk· 馬五口 ·wu
䳇	kxn· 母鳥 ·wu
䳱	ithx· 予丿夂力鳥 ·wu
洗	kqpe· 氵⺧儿 ·xi
西	vx· 西 ·xi
系	tis· 丿糸 ·xi
戏	rpg· 又戈 ·xi
细	iqt· 纟田 ·xi
席	xlrj· 广廿巾 ·xi
希	bnrj· 㐅𠂇巾 ·xi
喜	hdk· 壴口 ·xi
习	zx· 习 ·xi
锡	zone· 钅日勹 ·xi
溪	kyim· 氵爫幺大 ·xi
息	ohx· 自心 ·xi
吸	dcj· 口及 ·xi
熙	qvch· 巳灬 ·xi
袭	tti· 龙衣 ·xi
稀	xbnr· 禾㐅𠂇巾 ·xi
夕	lx· 夕 ·xi
惜	hlor· 忄龷日 ·xi
兮	hfae· 八一ㄅ ·xi
膝	vejk· 月木人氺 ·xi
奚	yimd· 爫幺大 ·xi
熹	hdch· 壴口灬 ·xi
析	etj· 木斤 ·xi
曦	ogxp· 日⺷禾一ㄅ戈 ·xi
玺	xyni· 小王丶 ·xi
硒	mvx· 石西 ·xi
禧	fhdk· 礻壴口 ·xi
悉	tphx· 丿米心 ·xi
昔	lor· 龷日 ·xi
熄	cohx· 火自心 ·xi
晰	oetj· 日木斤 ·xi
隙	tyoy· 阝𡭔日小 ·xi
嬉	bhdk· 女壴口 ·xi
淅	ketj· 氵木斤 ·xi
媳	bohx· 女自心 ·xi
浠	kbnr· 氵㐅𠂇巾 ·xi
羲	gxfp· ⺷禾一ㄅ戈 ·xi
徙	wssi· 彳止龰 ·xi
烯	cbnr· 火㐅𠂇巾 ·xi
郗	bnrt· 㐅𠂇巾阝 ·xi
郄	bnkt· 㐅𠂇厶阝 ·xi
嘻	dhdk· 口壴口 ·xi
铣	zqpe· 钅⺧儿 ·xi
僖	jhdk· 亻壴口 ·xi
犀	ckqn· 尸氺牛 ·xi
蜥	cetj· 虫木斤 ·xi
歙	jdze· 亼口羽欠 ·xi
隰	toic· 阝日幺幺灬 ·xi
唏	dbnr· 口㐅𠂇巾 ·xi
牺	qvx· 牜西 ·xi
汐	klx· 氵夕 ·xi
禊	fapm· 礻丰刀大 ·xi
茜	lvx· 艹西 ·xi
醯	yboa· 酉皿 ·xi
螅	cohx· 虫自心 ·xi
翕	jdzv· 亼口羽 ·xi
樨	eckq· 木尸氺牛 ·xi
阋	appe· 门臼儿 ·xi
舾	ivx· 舟西 ·xi
矽	mlx· 石夕 ·xi
檄	eulh· 木白方攵 ·xi
栖	evx· 木西 ·xi
腊	vlor· 月龷日 ·xi
蜡	clor· 虫龷日 ·xi
蹊	pyim· ⻊爫幺大 ·xi
蟋	ctph· 虫丿米心 ·xi
皙	etub· 木斤白 ·xi
屣	cwss· 尸彳止龰 ·xi
葸	lqhx· 艹田心 ·xi
鼷	pyim· 鼠爫幺大 ·xi
饩	qvq· 饣气 ·xi
舄	pnch· 臼勹灬 ·xi
蓰	lwss· 艹彳止龰 ·xi
粞	pvx· 米西 ·xi
菥	letj· 艹木斤 ·xi
觋	ujje· 工人人见 ·xi
忾	hvq· 忄气 ·xi
穸	elx· 穴夕 ·xi
裼	tone· 衤日勹 ·xi
诶	skos· 讠厶矢 ·xi
欷	bnre· 㐅𠂇巾欠 ·xi
晞	obnr· 日㐅𠂇巾 ·xi
塈	idgt· 旡土 ·xi
屃	cob· 尸贝 ·xi
潟	kpnc· 氵臼勹灬 ·xi
窸	etph· 穴丿米心 ·xi
绤	ihg· 纟谷 ·xi
豨	jbnr· 豕㐅𠂇巾 ·xi
郤	hte· 谷阝 ·xi
饻	qti· 饣衣 ·xi
薂	lulh· 艹白方攵 ·xi
蕮	lpnc· 艹臼勹灬 ·xi
蔇	lidu· 艹旡 ·xi
蓆	lxlr· 艹广廿巾 ·xi
蒵	lyim· 艹爫幺大 ·xi
蒠	lohx· 艹自心 ·xi
葈	lkde· 艹厶口木 ·xi
虩	yoyz· ⺌曰小虎 ·xi
莔	lrhm· 艹囗八冂 ·xi
莃	lbnr· 艹㐅𠂇巾 ·xi
蜤	etcc· 木斤虫 ·xi
蝷	cxhs· 虫广䒑 ·xi
螇	cyim· 虫爫幺大 ·xi
舃	pfac· 臼一ㄅ灬 ·xi
蟢	chdk· 虫壴口 ·xi
脋	pppv· 刀刀刀⺝ ·xi
蠵	cvud· 虫山隹冂八口 ·xi
脇	vsss· 月力力力 ·xi
衋	bfua· 聿一白一白丿皿 ·xi
肹	vhfa· 月八一ㄅ ·xi
肸	vhns· 月八十 ·xi
翖	jdzv· 亼口羽 ·xi
習	zub· 羽白 ·xi
羛	gtf· ⺷弗 ·xi
襲	tti· 龍衣 ·xi
覀	vx· 覀 ·xi
覡	ujje· 工人人見 ·xi
覤	zej· 虎見 ·xi
纚	ifvx· 糹一一鹿 ·xi
繫	ymri· 車凵殳糸 ·xi
繥	ihdk· 糹壴口 ·xi
繋	yris· 車殳糸 ·xi
縰	iwss· 糹彳止龰 ·xi
縘	iyim· 糹爫幺大 ·xi
緆	ione· 糹日勹 ·xi
綌	ihg· 糹谷 ·xi
細	iqt· 糹田 ·xi
觹	xtum· ⺈用隹 ·xi
糦	phdk· 米壴口 ·xi
觽	xtvm· ⺈用山隹 ·xi
觿	xtvd· ⺈用山隹冂八口 ·xi
訢	stj· 言斤 ·xi
誒	skos· 言厶矢 ·xi
稧	xapm· 禾丰刀大 ·xi
諰	sqhx· 言田心 ·xi
礂	mhdk· 石壴口 ·xi
謑	syim· 言爫幺大 ·xi
磶	mpnc· 石臼勹灬 ·xi
磎	myim· 石爫幺大 ·xi
碏	mlor· 石龷日 ·xi
謵	szub· 言羽白 ·xi
譆	shdk· 言壴口 ·xi
矖	qfvx· 目一一鹿 ·xi
瞦	qhdk· 目壴口 ·xi
睎	qbnr· 目㐅𠂇巾 ·xi
谿	yimh· 爫幺大谷 ·xi
豀	hyim· 谷爫幺大 ·xi
盻	qhfa· 目八一ㄅ ·xi
豯	jyim· 豕爫幺大 ·xi
貕	myim· 豸爫幺大 ·xi
瘜	aohx· 疒自心 ·xi
赥	gceq· 土欠 ·xi
赩	gcxm· 土⺈巴 ·xi
瓕	bffi· 弓一王丶 ·xi
璽	ffni· 一王丶 ·xi
趇	pil· 走立 ·xi
趘	pcvm· 走尸毛 ·xi
琋	nbnr· 王㐅𠂇巾 ·xi
獡	mpnc· 犭臼勹灬 ·xi
狶	mbnr· 犭㐅𠂇巾 ·xi
犧	qgxp· 牜⺷禾一ㄅ戈 ·xi
犔	qvpm· 牜气米 ·xi
蹝	pwss· ⻊彳止龰 ·xi
爔	cgxp· 火⺷禾一ㄅ戈 ·xi
燨	cgtp· 火⺷丿扌戈 ·xi
燍	czht· 火斤 ·xi
熻	cjdz· 火亼口羽 ·xi
熺	chdk· 火壴口 ·xi
熈	tqvc· 丿臣巳灬 ·xi
熂	cvpm· 火气米 ·xi
煕	qvch· 巳灬 ·xi
躧	pfvx· ⻊一一鹿 ·xi
焬	cone· 火日勹 ·xi
焟	clor· 火龷日 ·xi
焈	mvch· 户巳火 ·xi
焁	dech· 口欠火 ·xi
澙	kpfc· 氵臼一ㄅ灬 ·xi
潝	kjdz· 氵亼口羽 ·xi
漝	kzub· 氵羽白 ·xi
漇	kwss· 氵彳止龰 ·xi
滊	kvpm· 氵气米 ·xi
邜	lte· 夕阝 ·xi
郋	ote· 自阝 ·xi
鄎	ohte· 自心阝 ·xi
氥	vvx· 气西 ·xi
酅	vumt· 山隹冂八口阝 ·xi
歖	hdeq· 壴口欠 ·xi
欯	gdeq· 士口欠 ·xi
欪	smeq· 屮凵欠 ·xi
釐	ahxd· 未攵厂里 ·xi
橀	eboa· 木皿 ·xi
釳	zeai· 金𠂉乙 ·xi
槢	ezub· 木羽白 ·xi
釸	zlx· 金夕 ·xi
榽	eyim· 木爫幺大 ·xi
鈒	zcj· 金及 ·xi
椺	ejde· 木亻口木 ·xi
椞	etem· 木斤木 ·xi
鈢	zem· 金木 ·xi
桸	ebnr· 木㐅𠂇巾 ·xi
鉨	zxyx· 金小 ·xi
鉩	zjyx· 金人小 ·xi
銑	zqpe· 金⺧儿 ·xi
枲	kdem· 厶口木 ·xi
杫	esi· 木止 ·xi
暿	ohdk· 日壴口 ·xi
晳	etor· 木斤日 ·xi
錫	zone· 金日勹 ·xi
鎴	zohx· 金自心 ·xi
摡	uidu· 扌旡 ·xi
鏭	ztph· 金丿米心 ·xi
鑴	zvud· 金山隹冂八口 ·xi
钑	zcj· 钅及 ·xi
扸	uap· 扌片 ·xi
扱	ucj· 扌及 ·xi
戲	zzpg· 虍豆戈 ·xi
戱	zcpg· 虍戈 ·xi
戯	zcpg· 虍业戈 ·xi
憙	hdhx· 壴口心 ·xi
憘	hhdk· 忄壴口 ·xi
慀	hyim· 忄爫幺大 ·xi
愾	hvpm· 忄气米 ·xi
闟	ajdz· 門亼口羽 ·xi
惁	ethx· 木斤心 ·xi
悕	hbnr· 忄㐅𠂇巾 ·xi
恓	hvx· 忄西 ·xi
恄	hgdk· 忄士口 ·xi
隟	toqe· 阝巛田木 ·xi
怸	eihx· 木丶心 ·xi
怬	hys· 忄四 ·xi
隵	tzzp· 阝虍豆戈 ·xi
雟	sumd· 隹冂八口 ·xi
忥	vhx· 气心 ·xi
忚	hey· 忄也 ·xi
雭	tcj· ⻗及 ·xi
徯	wyim· 彳爫幺大 ·xi
徔	wlri· 彳艹之 ·xi
徆	wvx· 彳西 ·xi
霫	tzub· ⻗羽白 ·xi
霼	tbvp· ⻗云气米 ·xi
廗	xlwr· 广艹冖巾 ·xi
巇	vzzp· 山虍豆戈 ·xi
巂	vumd· 山隹冂八口 ·xi
嶲	vumk· 山隹 ·xi
嶍	vzub· 山羽白 ·xi
嵠	vyim· 山爫幺大 ·xi
屭	cooo· 尸貝貝貝 ·xi
屖	cnx· 尸辛 ·xi
屓	cob· 尸貝 ·xi
飁	zuoc· 羽白⺇丿虫 ·xi
宩	wpm· 宀米 ·xi
餏	qti· 飠衣 ·xi
嬆	bjdz· 女亼口羽 ·xi
餙	qbnr· 飠㐅𠂇巾 ·xi
娭	bkos· 女厶矢 ·xi
餼	qvpm· 飠气米 ·xi
壐	ffgt· 一土 ·xi
墍	uvdg· 白匕旡土 ·xi
騱	nyim· 馬爫幺大 ·xi
騽	nzub· 馬羽白 ·xi
驨	nvud· 馬山隹冂八口 ·xi
囍	hdhd· 壴口壴口 ·xi
嚱	dzzp· 口虍豆戈 ·xi
噏	djdz· 口亼口羽 ·xi
鬩	jppe· 鬥臼儿 ·xi
喺	djti· 口亻丿糸 ·xi
唽	detj· 口木斤 ·xi
咥	dyi· 口至 ·xi
鰼	wzub· 魚羽白 ·xi
呬	dys· 口四 ·xi
鱚	whdk· 魚壴口 ·xi
吚	dbtp· 口丿 ·xi
鳛	wzub· 鱼羽白 ·xi
厀	ejkz· 木人氺卩 ·xi
卥	yrei· ⺊囗丶 ·xi
卌	lx· 卌 ·xi
鵗	bnrx· 㐅𠂇巾鳥 ·xi
匸	nk· 匸 ·xi
凞	wtqc· 冫丿臣巳灬 ·xi
鸂	kyix· 氵爫幺大鳥 ·xi
傒	jyim· 亻爫幺大 ·xi
黖	pdu· 黑旡 ·xi
俙	jbnr· 亻㐅𠂇巾 ·xi
係	jtis· 亻丿糸 ·xi
鼰	pob· 鼠貝 ·xi
鼳	pqmq· 鼠目犬 ·xi
下	fyb· 一卜 ·xia
吓	dfyb· 口一卜 ·xia
瞎	qwad· 目宀丰口 ·xia
夏	fohi· 一自夊 ·xia
霞	tcmr· ⻗二コ又 ·xia
峡	vhhb· 山夫丷 ·xia
辖	ywad· 宀丰口 ·xia
虾	cfyb· 虫一卜 ·xia
侠	jhhb· 亻夫丷 ·xia
狭	mhhb· 犭夫丷 ·xia
遐	cmnu· 二コ又辶 ·xia
